Corporation Name,Email,Address,Business Turnover (M$),Duration of Business (Years),Past Loan Repayment Rate (%),Loan Default Count,Credit Rating,Previous Loan Interest Rate (%),Loan Tenure Requested (Years),Past Loan ROI (%),Loan Amount Requested (M$),Associated Project ROI (%),Loan Approval Label
"Lee, Dunn and Webb",kimberly88@yahoo.com,"321 Riggs Shore Suite 068, Hooverburgh, LA 48253",27.53,7,87.11,1,824,12.53,3,23.62,6.51,20.0,Approved
Mccoy Group,alvarezphilip@stark.info,"333 James Lodge, Davistown, MT 31466",13.64,13,80.03,3,778,4.83,4,6.05,2.48,20.0,Not Approved
Young-Salinas,debrabuchanan@jones.org,"94333 Moore Curve Apt. 304, Allisonmouth, OK 93061",22.64,16,81.67,1,806,14.07,4,21.23,3.81,20.0,Approved
Williams Inc,newmankeith@edwards.net,"7497 David Trail, Lake Brianview, NC 96769",6.04,7,79.1,1,755,5.74,4,20.35,8.99,20.0,Not Approved
Henry-Curtis,melinda03@gmail.com,"3793 Arias Lights Apt. 133, Port Ashleymouth, OR 07303",44.28,7,90.69,1,817,14.24,8,19.47,5.66,20.0,Approved
"Lopez, Myers and Stephens",cabreratracy@gmail.com,"490 Roger Viaduct Apt. 411, New Brandi, ME 98419",24.74,18,81.42,0,844,12.56,8,20.72,1.62,20.0,Approved
Diaz Group,cartermatthew@gmail.com,"71528 Sarah Dam, South Bryan, CO 05555",36.44,13,66.95,2,818,5.79,5,15.14,3.5,20.0,Not Approved
Cox-Hughes,averysharon@anderson-owens.com,"14397 Brown Falls, South Nancy, PA 65111",46.98,6,98.53,0,837,6.28,4,21.78,9.94,20.0,Approved
West PLC,danielrodriguez@gmail.com,"274 Erin Squares Apt. 213, Goodwinport, RI 33550",38.99,7,97.81,0,832,8.98,1,20.71,5.84,20.0,Approved
"Gomez, Fletcher and Lopez",buchanannancy@gmail.com,"3143 Heidi Key Suite 182, Shafferchester, AL 55035",38.68,6,98.99,0,818,5.18,7,19.99,8.91,20.0,Approved
"Walker, Lee and Taylor",baileykramer@boyer-roberts.com,"98316 Waller Radial, New Steven, ME 96897",47.14,15,95.06,0,827,14.86,6,19.83,7.18,20.0,Approved
"Martinez, Wood and Perez",markskelly@poole.com,"0761 Cynthia Shores Suite 788, Lake Amandaburgh, AZ 97739",30.06,17,94.45,1,838,10.99,1,20.83,10.0,20.0,Approved
Morse Inc,justin78@yahoo.com,"11241 Gregory Isle Suite 759, Jenniferfurt, OH 07983",26.37,7,81.81,0,820,7.38,5,20.82,9.21,20.0,Approved
Melendez PLC,perezmolly@moore-gomez.net,"1769 Strickland Ways, New Juanton, ID 82238",40.92,6,85.12,0,817,8.58,10,20.89,6.15,20.0,Approved
"Clark, Martin and Lee",daniel85@hotmail.com,"69507 Jose Island Apt. 296, Shannonport, NH 20342",27.39,16,84.79,0,805,14.94,2,18.25,1.73,20.0,Approved
"Todd, Lyons and Roberts",blackmason@yahoo.com,"2663 Karen Radial Suite 592, New Ronaldstad, MI 64471",44.17,3,83.52,3,650,8.99,6,14.02,9.61,20.0,Not Approved
"Ford, Scott and Garcia",luis12@lynn.org,"07755 Zamora Park Suite 384, Schwartzland, NJ 73016",31.83,14,83.05,0,826,4.51,4,23.74,6.06,20.0,Approved
Gomez-Noble,baileymichelle@gmail.com,"3337 Scott Circles, Brittanymouth, TX 23058",42.61,5,84.99,1,819,14.33,8,17.36,6.61,20.0,Approved
Watson-Stephens,tammy15@collins.org,"391 Stewart Fords Apt. 920, East Charlesburgh, AK 42386",20.73,16,84.16,1,826,9.87,9,22.52,3.54,20.0,Approved
"Lee, Dunn and Webb",kimberly88@yahoo.com,"321 Riggs Shore Suite 068, Hooverburgh, LA 48253",24.07,10,95.24,0,812,12.53,10,20.47,8.13,20.0,Approved
Ramos Inc,tracigarcia@rodriguez.com,"3664 Brooks Lodge Suite 397, East Juan, TX 27175",21.66,3,73.1,3,844,5.79,4,11.48,5.23,20.0,Not Approved
Gonzalez-Jones,christineaustin@gmail.com,"100 David Ridges, Pamelaburgh, TN 65640",37.8,7,97.56,1,839,11.02,10,22.92,7.26,20.0,Approved
"Lewis, James and Lynch",craigbrown@yahoo.com,"20794 Anthony Freeway, Lake Breanna, MD 58475",34.74,7,80.19,1,804,14.84,10,21.35,9.26,20.0,Approved
Jones Group,fwalton@gmail.com,"87805 Miller Roads Suite 356, Graybury, TN 99138",48.87,7,83.01,0,825,14.27,5,23.98,4.14,20.0,Approved
West PLC,danielrodriguez@gmail.com,"274 Erin Squares Apt. 213, Goodwinport, RI 33550",38.99,7,97.81,0,832,8.98,1,20.71,5.84,20.0,Approved
Fisher and Sons,hbuchanan@gmail.com,"62280 Steven Keys Apt. 940, West Ronald, GA 75710",38.45,12,85.82,1,808,10.91,2,17.47,6.92,20.0,Approved
"Russo, Castaneda and Walker",susannichols@leblanc.com,"98724 Elizabeth Pike, Jensenville, NE 68245",27.62,1,66.13,3,650,3.45,16,17.33,6.15,15.84,Not Approved
Raymond LLC,colemansarah@hall.com,"034 Mckenzie Island Apt. 514, Port Katherinechester, GA 01389",35.89,17,84.39,1,834,5.13,8,15.47,5.76,20.0,Approved
Schwartz-Harrison,woconnor@taylor.net,"0673 Estes Estate, East Kristinaberg, CT 79865",30.91,18,86.8,0,820,3.09,8,22.54,6.28,20.0,Approved
Anderson Inc,hendersonpenny@brown.com,"USNV Perry, FPO AE 50416",25.84,19,80.12,1,833,6.74,9,15.77,2.01,20.0,Approved
Kim Ltd,kingangelica@hotmail.com,"91238 Davis Trace, Lake Maureen, PA 34639",17.02,19,67.91,0,650,6.04,18,24.93,1.25,9.78,Not Approved
Duncan-Mcdonald,laurietaylor@gmail.com,"34419 Mullen Valley Apt. 259, Lake Jeffreyhaven, FL 02502",37.77,14,78.08,3,650,11.35,19,10.97,1.36,10.87,Not Approved
Daniel-Thomas,coreyroy@lucas.com,"031 Snyder Valley Suite 768, Gallegosmouth, GA 64865",49.38,4,93.8,3,650,6.5,6,16.8,3.2,7.35,Not Approved
Ward-Johnson,marquezmichael@marsh.net,"661 Smith Isle, Lake Catherine, NY 93945",11.72,12,98.14,0,679,13.41,16,10.33,1.51,9.53,Not Approved
White-Carpenter,paul65@martinez.com,"34857 Thomas Loaf Suite 197, West Kimshire, NE 99026",40.89,15,97.66,0,828,5.51,6,21.04,1.55,20.0,Approved
Hull-Rogers,cynthiaspencer@hotmail.com,"709 Hernandez Oval, Ericfort, WY 06359",31.81,14,86.92,0,827,9.2,9,24.62,5.87,20.0,Approved
"Mclaughlin, Murphy and Lynn",vsmith@hotmail.com,"841 Gregory Ports Suite 247, Johnsonfort, IA 01699",34.99,14,88.87,0,808,5.29,4,19.87,7.18,20.0,Approved
"Jenkins, Hayes and Johnson",frankdonovan@sherman.com,"861 Travis Vista, Wrightfurt, FL 16619",39.72,9,94.83,0,835,5.51,2,21.49,2.16,20.0,Approved
"Fernandez, Thomas and Rios",ethanharris@gmail.com,"4244 Duffy Walks, West Robert, MT 12320",22.26,18,96.56,0,826,12.47,8,21.53,3.23,20.0,Approved
Raymond LLC,colemansarah@hall.com,"034 Mckenzie Island Apt. 514, Port Katherinechester, GA 01389",35.89,17,84.39,1,834,5.13,8,15.47,5.76,20.0,Approved
"Vazquez, Spencer and Martin",elizabeth05@yahoo.com,"PSC 4675, Box 0104, APO AA 44181",46.17,17,87.1,0,839,7.73,2,18.97,7.08,20.0,Approved
"Combs, Thomas and Rodriguez",john52@jones.net,"3283 Taylor Branch Apt. 545, North John, MT 06050",48.22,10,85.27,1,839,13.61,7,22.98,9.3,20.0,Approved
Clark Group,brian44@yahoo.com,"68061 Gordon Lane Suite 283, East Susanburgh, MN 08054",35.49,8,96.79,0,848,14.1,8,19.5,4.01,20.0,Approved
"James, Hoffman and Schmidt",colemaneric@gmail.com,"7597 Ortiz Lake, Port Andrea, ND 72492",37.31,12,82.64,0,818,6.83,10,17.01,8.3,20.0,Approved
Guzman and Sons,mbridges@davis.com,"8508 Roberts Plaza, North Sherry, OH 02767",48.15,17,89.55,0,823,4.2,7,19.17,9.71,20.0,Approved
Luna-Daniel,carla60@gmail.com,"353 Anderson Manors Suite 494, North Danielle, KY 59160",26.73,12,88.34,1,819,11.71,7,21.99,5.27,20.0,Approved
Cruz PLC,craigethan@crawford.biz,"14294 Matthew Squares Apt. 024, Grahamfort, GA 59864",42.57,3,78.18,0,812,11.81,18,12.03,2.9,20.0,Not Approved
"Kelly, Leonard and Byrd",jennifer33@garcia.biz,"580 Alyssa Bypass Apt. 622, New Duaneberg, CT 01768",36.65,6,87.38,0,814,6.54,8,16.1,4.14,20.0,Approved
"Williams, Lambert and Riggs",loribarker@yahoo.com,"19555 Julie Cape Suite 445, South Randy, WI 25389",41.67,19,95.12,1,814,12.42,4,20.93,3.65,20.0,Approved
Butler-Andrade,josephclark@yahoo.com,"39646 Atkinson Rapid, Lake Timothy, AZ 28706",16.02,7,67.5,0,710,9.77,2,13.58,6.66,16.73,Not Approved
Watkins and Sons,stephen67@taylor.info,"3427 Michelle Wells Apt. 595, Weavermouth, RI 87769",26.25,12,94.38,1,824,14.6,9,17.79,2.87,20.0,Approved
"Bauer, Campbell and Peterson",bsnow@mercado.biz,"54124 Steven Mountains Apt. 604, Leonardfurt, OK 31070",6.58,14,74.16,1,650,9.54,12,9.86,4.64,18.07,Not Approved
"Holmes, Cook and Avila",michael38@orozco-baker.org,"210 Kimberly Spur, East Jennifertown, SC 36393",37.14,13,89.85,0,830,3.46,7,17.01,4.73,20.0,Approved
Schneider Ltd,patrick56@yahoo.com,"2947 Benjamin River Apt. 073, Port Meghan, ID 05713",45.6,11,87.76,0,805,5.18,5,20.17,7.68,20.0,Approved
Bell-Cooper,melissa23@cooper.net,"62185 Mendoza Park, Karenchester, KS 35788",23.63,8,71.87,2,778,4.81,2,9.46,8.68,20.0,Not Approved
Duncan-Mcdonald,laurietaylor@gmail.com,"34419 Mullen Valley Apt. 259, Lake Jeffreyhaven, FL 02502",37.77,14,78.08,3,650,11.35,19,10.97,1.36,10.87,Not Approved
Jarvis Ltd,josephking@hill.org,"829 Lisa Gardens Apt. 674, Port Lisachester, RI 76495",35.56,18,95.1,0,839,10.47,5,23.05,4.53,20.0,Approved
Phillips-Washington,ashley92@gmail.com,"8930 Reid Way, South Jamesville, MN 78292",30.87,12,85.04,0,847,8.41,8,23.19,6.66,20.0,Approved
"Carroll, Brown and Lambert",simmonskimberly@gmail.com,"35546 Harrison Street, Dannymouth, VT 58629",27.65,9,94.14,1,806,6.0,9,18.13,7.12,20.0,Approved
Johnson-Christian,hensonbrooke@hotmail.com,"74829 Hernandez Island, Port Joshua, CO 59755",21.73,17,98.87,1,802,14.3,5,17.94,4.23,20.0,Approved
Dillon-Kennedy,amanda42@hotmail.com,"PSC 8514, Box 5837, APO AA 47261",14.3,3,57.53,3,747,8.55,3,13.39,9.07,17.33,Not Approved
Smith Ltd,vgonzalez@taylor.com,"7801 Harris Dale Apt. 051, Holmesshire, WA 56470",27.79,5,80.65,2,650,7.75,13,7.4,1.71,6.93,Not Approved
Irwin and Sons,rboyle@hotmail.com,"262 Lindsey Estates, Ronaldfort, MA 02840",47.72,15,85.87,0,823,9.48,4,22.97,5.35,20.0,Approved
Joseph and Sons,cynthia69@rodgers-harris.com,"0782 Moore Fork Apt. 291, Port Kathy, CT 11091",45.12,8,85.27,0,753,11.91,6,10.67,8.94,17.36,Not Approved
Harrison-Davidson,simpsonlindsay@gmail.com,"Unit 2227 Box 8644, DPO AP 20716",6.69,14,65.55,3,831,8.29,14,7.16,2.34,7.01,Not Approved
"Martinez, Cox and Green",briannavargas@hotmail.com,"32309 Julia Track, Kristyville, CO 75574",31.91,9,91.16,1,809,13.75,1,21.69,8.61,20.0,Approved
Wyatt-Howell,brandon54@yahoo.com,"9757 Gregory Lodge Suite 652, Port Timshire, AK 26245",26.33,16,54.29,3,650,6.08,18,22.85,5.86,5.83,Not Approved
Gomez Group,michael63@hotmail.com,"24660 Smith Estates Suite 771, Andreafurt, NV 85689",25.72,19,93.25,1,824,3.25,2,16.8,5.37,20.0,Approved
Young-Salinas,debrabuchanan@jones.org,"94333 Moore Curve Apt. 304, Allisonmouth, OK 93061",22.64,16,81.67,1,806,14.07,4,21.23,3.81,20.0,Approved
Barker-Fowler,carriepeterson@hotmail.com,"209 Phillip Cape, Holdershire, IL 45421",40.8,10,96.35,1,803,14.92,6,22.58,1.58,20.0,Approved
"Bailey, Guzman and Cain",jonathan24@gmail.com,"USNV Russell, FPO AP 66592",43.21,2,74.6,2,767,5.6,3,22.71,2.81,13.16,Not Approved
"Bryant, Wiggins and Jensen",brittney53@lynn.info,"99698 Benson Tunnel, Garrettshire, CT 12126",27.19,11,80.71,0,810,5.9,4,22.5,3.21,20.0,Approved
Gonzalez and Sons,thompsonbradley@jordan.biz,"6999 Randall Wells Apt. 631, Whiteburgh, RI 41562",25.1,14,94.96,0,822,4.57,3,16.8,8.01,20.0,Approved
"Jones, Phillips and Whitney",tylerwilliams@barrett-benjamin.biz,"660 James Path Suite 155, South Lisaburgh, NY 10688",44.05,8,58.45,0,650,9.45,9,10.1,8.36,12.66,Not Approved
"Davis, Barton and Martinez",brownveronica@olson.org,"418 Parsons Ramp Suite 493, Nancyfort, OK 93235",20.21,19,96.53,0,809,11.38,2,22.72,5.77,20.0,Approved
Rodriguez-Lloyd,brian55@tran.org,"636 Powell Garden, New Kristin, LA 74470",33.86,11,81.88,0,802,10.75,6,18.59,7.71,20.0,Approved
Carey Ltd,veronica25@nichols.com,"1104 Rivera Glens Apt. 888, Rileystad, VT 71563",20.66,13,97.23,0,823,14.49,5,16.77,8.4,20.0,Approved
"Ortiz, Perez and Thornton",littlejordan@gmail.com,"2506 Jill Stravenue Suite 755, New Curtisburgh, VT 95547",20.69,7,94.07,1,847,10.83,6,22.56,3.1,20.0,Approved
"Powers, Evans and Herrera",lberg@warren-shannon.biz,"4778 Alvarado Mountain Suite 198, Wayneport, CT 77200",33.25,13,96.82,0,811,8.46,7,17.82,2.77,20.0,Approved
Sandoval Group,fclark@watts.com,"713 Daniel Fall Suite 575, South Robertton, NM 81019",22.9,12,77.68,0,800,4.96,2,6.6,1.55,15.48,Not Approved
Booker-Nelson,jonathan94@gmail.com,"3681 Joseph Gateway Apt. 329, North Brendamouth, NH 87797",23.85,17,84.24,1,814,14.27,6,20.34,8.83,20.0,Approved
Tucker LLC,mahoneykimberly@young.net,"Unit 8478 Box 8080, DPO AE 59345",45.65,9,84.5,1,829,9.64,5,16.12,7.08,20.0,Approved
"Lowe, Long and Evans",keith47@esparza-vazquez.org,"12608 Munoz Parkway, New Cynthia, MA 70427",44.43,9,92.05,1,845,5.39,4,24.8,7.82,20.0,Approved
"Reed, Chavez and Vasquez",ericrogers@gmail.com,"78775 Andrea Falls, North Amanda, NV 19067",29.13,14,88.09,1,819,14.16,1,23.27,8.33,20.0,Approved
Bernard-Andrews,christopher66@yahoo.com,"56602 Thomas Ridges Suite 662, Kellyhaven, IL 73585",42.59,8,97.88,0,823,3.89,4,21.3,1.09,20.0,Approved
Chang Inc,paul06@lucas.com,"060 Bowers Manor Apt. 987, West Anna, AK 96437",21.35,18,85.82,1,803,13.71,11,21.43,4.5,10.89,Not Approved
Jones Ltd,jdaniels@martin.com,"36224 Espinoza Plains, New Emily, LA 43859",43.53,7,89.12,0,830,6.18,6,20.79,4.88,20.0,Approved
"Watkins, Hernandez and Yoder",stephanie29@garcia-powell.com,"2046 Lee Pine, Brettchester, NC 82334",47.73,6,89.44,0,843,6.48,2,19.31,3.5,20.0,Approved
"Pierce, Martinez and Scott",jasonpreston@yahoo.com,"03286 John Branch, East Mason, GA 87837",22.39,8,91.52,1,820,13.52,7,19.06,6.69,20.0,Approved
Miller PLC,diana36@jones.net,"PSC 7302, Box 1957, APO AP 39675",34.57,7,81.21,0,815,5.99,3,23.96,8.38,20.0,Approved
Russell and Sons,elainecox@gmail.com,"8537 Andres Oval Apt. 623, Port Calvinborough, IN 04473",41.94,5,94.57,0,801,13.74,3,23.61,9.31,20.0,Approved
King-Morales,jeremy68@lloyd-wilkins.com,"871 Bailey Mountains, Mooreside, TX 09674",39.77,5,81.57,0,836,13.26,8,19.72,5.99,20.0,Approved
Luna-Daniel,carla60@gmail.com,"353 Anderson Manors Suite 494, North Danielle, KY 59160",26.73,12,88.34,1,819,11.71,7,21.99,5.27,20.0,Approved
Woods-Shaffer,ofoster@yahoo.com,"PSC 1001, Box 6884, APO AP 64418",36.22,9,69.07,1,650,13.77,14,8.93,1.73,18.07,Not Approved
"Nelson, Jackson and Boyer",estuart@gmail.com,"16545 Miller Summit Apt. 624, Jameshaven, AK 95198",35.21,9,98.79,0,650,7.56,4,18.48,7.88,20.0,Not Approved
Conway PLC,alexandriacarlson@yahoo.com,"848 Moss Key, North Brendaview, AR 08423",16.44,7,51.96,2,650,6.71,10,22.2,8.72,20.0,Not Approved
Palmer LLC,ewood@yahoo.com,"8978 Cole Lock Suite 669, Jacquelineton, KY 86409",25.29,18,95.08,0,828,7.22,5,23.54,6.21,20.0,Approved
"Ramirez, Nelson and Acevedo",owalters@wilson.com,"93737 Evans Cliff, Lake Bradley, NV 92884",37.39,18,86.92,0,826,8.17,10,22.48,8.01,20.0,Approved
"Ford, Scott and Garcia",luis12@lynn.org,"07755 Zamora Park Suite 384, Schwartzland, NJ 73016",46.97,9,97.58,1,810,4.51,2,16.25,7.31,20.0,Approved
Vega PLC,sbrown@lewis.com,"9967 Mckay Mall Suite 014, Deniseview, MN 85264",7.96,5,61.06,3,650,7.28,9,11.44,2.75,8.76,Not Approved
Daniels-Krueger,andrew20@yahoo.com,"9824 John Burg Apt. 827, Montgomerystad, RI 96017",14.73,18,78.6,3,650,5.02,6,9.4,6.12,15.03,Not Approved
Martinez-Lindsey,weissgeorge@hall.com,"13520 Robert Creek Apt. 398, Lorimouth, WV 19632",28.23,7,87.69,0,830,14.43,3,15.28,1.28,20.0,Approved
"Clarke, Mcdonald and Rodriguez",johnathan57@wright.biz,"05968 Hampton Forges, West Danny, NJ 30253",42.07,17,68.78,0,650,6.79,4,16.91,2.83,11.47,Not Approved
"Hill, Gibson and Mitchell",smithrobin@collins-brown.com,"330 Tonya Trail Apt. 278, New Gavinview, WY 02027",40.55,14,83.84,0,838,13.95,3,24.16,9.2,20.0,Approved
Mack Inc,ksmith@gmail.com,"68996 Sean Wall, Browntown, NE 84175",20.68,5,80.22,0,837,4.83,9,24.21,7.53,20.0,Approved
Jones-Pierce,kdiaz@turner.com,"894 Reed Hollow Suite 708, Laurachester, OK 17627",37.06,16,96.81,1,838,4.13,8,15.98,9.14,20.0,Approved
Smith-King,courtneygriffin@scott.com,"6313 Kevin Crossroad Suite 690, Justinview, NJ 78639",38.85,12,86.89,1,815,3.93,10,19.92,5.7,20.0,Approved
Ortiz Inc,jasmine26@gmail.com,"PSC 8646, Box 8278, APO AP 74167",49.19,8,69.13,1,813,3.83,2,14.95,1.28,13.58,Not Approved
"Vega, Garner and Ward",michaelsmith@hotmail.com,"9389 Davis Crossroad, North Martin, UT 84504",46.81,3,57.93,2,650,14.75,1,17.62,4.19,20.0,Not Approved
Navarro-Barnett,teresa34@hernandez.com,"650 Adrian Mountains, West Joshuaborough, IA 84008",20.95,5,91.93,1,814,3.35,2,24.03,8.76,20.0,Approved
"Roberts, Tanner and Higgins",lmcpherson@spencer.biz,"103 Jason Locks, East Christopher, ID 42584",22.22,10,97.61,1,837,6.81,4,24.77,8.14,20.0,Approved
Gomez Group,michael63@hotmail.com,"24660 Smith Estates Suite 771, Andreafurt, NV 85689",24.63,12,99.16,0,835,3.25,6,20.96,9.09,20.0,Approved
Moore LLC,christine76@hotmail.com,"115 Schmitt Station, Port Sara, SD 84773",48.25,7,95.45,1,819,13.05,1,23.34,8.65,20.0,Approved
"Bell, Russell and Gray",hullwilliam@hotmail.com,"0203 Bender Prairie, Johnmouth, IN 60011",43.51,7,96.33,1,825,12.66,10,16.66,4.3,20.0,Approved
Smith Ltd,vgonzalez@taylor.com,"7801 Harris Dale Apt. 051, Holmesshire, WA 56470",27.79,5,80.65,2,650,7.75,13,7.4,1.71,6.93,Not Approved
"Moran, Barrett and Johnson",njones@prince-johnson.com,"68814 Lee Trail, Millerstad, IL 63250",22.95,8,82.93,1,827,11.32,1,21.05,3.2,20.0,Approved
Dominguez-Singh,gjones@santana.com,"8748 Sanchez Drive, West Jacobtown, SC 54308",22.3,18,95.33,0,809,12.68,1,17.5,6.63,20.0,Approved
Lee-Day,cbeltran@gmail.com,"33405 Jessica Greens, East Andrew, WI 54445",22.64,18,96.24,0,809,10.82,10,21.91,2.86,20.0,Approved
Harrison Ltd,sara10@brown.com,"029 Briana Circles, Hardinburgh, NH 68445",35.47,14,94.41,0,832,10.0,3,19.71,4.77,20.0,Approved
"Drake, Davies and Young",warrenkimberly@yahoo.com,"4345 Angela Parkways, Bowmanmouth, MS 93071",40.26,11,88.69,0,823,6.17,2,22.05,2.67,20.0,Approved
Nash PLC,mitchell18@walker.com,"8007 Allen Dam Suite 345, North Monica, HI 86294",48.59,9,90.22,1,839,9.49,6,23.6,7.41,20.0,Approved
Marshall-Nelson,leegary@gmail.com,"7218 Terry Falls Apt. 608, West Deniseport, TN 32271",38.7,2,58.24,3,650,5.52,11,20.69,6.33,20.0,Not Approved
Clark LLC,paul85@stephens.com,"908 Jasmine Springs Suite 743, Charlesland, KS 86641",38.69,18,90.06,0,812,13.66,9,24.27,7.04,20.0,Approved
Sandoval Group,fclark@watts.com,"713 Daniel Fall Suite 575, South Robertton, NM 81019",22.9,12,77.68,0,800,4.96,2,6.6,1.55,15.48,Not Approved
"Garner, Jackson and Wilson",grayanna@mata.org,"871 Stacy Gardens, Douglasborough, NJ 87276",41.01,17,85.78,0,837,14.04,9,17.7,4.44,20.0,Approved
Powell-Sanchez,laurenclark@hotmail.com,"71207 Marquez Valley, Hillhaven, AZ 58472",37.84,9,92.41,1,842,4.91,2,16.61,3.65,20.0,Approved
Cox-Hughes,averysharon@anderson-owens.com,"14397 Brown Falls, South Nancy, PA 65111",30.62,5,82.59,0,842,6.28,7,17.38,9.72,20.0,Approved
"Russo, Castaneda and Walker",susannichols@leblanc.com,"98724 Elizabeth Pike, Jensenville, NE 68245",27.62,1,66.13,3,650,3.45,16,17.33,6.15,15.84,Not Approved
Miller PLC,diana36@jones.net,"PSC 7302, Box 1957, APO AP 39675",33.37,14,87.98,0,807,5.99,5,23.44,4.23,20.0,Approved
Schneider Ltd,patrick56@yahoo.com,"2947 Benjamin River Apt. 073, Port Meghan, ID 05713",45.6,11,87.76,0,805,5.18,5,20.17,7.68,20.0,Approved
Cross Ltd,sarah97@parker.com,"601 Barry Place, North Jenniferport, NE 86069",48.26,10,92.15,0,806,10.71,3,23.1,8.55,20.0,Approved
"Whitney, Reese and Lewis",levi16@yahoo.com,"USNS Galvan, FPO AE 35319",43.66,16,80.65,3,688,7.44,11,13.67,1.6,20.0,Not Approved
Davidson Inc,billy17@yahoo.com,"61053 Loretta Port, Tonyborough, VA 87365",31.88,7,73.95,2,650,6.25,16,17.04,9.39,5.38,Not Approved
"Miller, Wu and Anderson",dianaadams@yahoo.com,"88851 Matthew Knoll Apt. 394, Lake Michaelberg, MO 86220",42.44,1,92.33,0,650,8.94,3,15.56,6.33,9.31,Not Approved
White-Carpenter,paul65@martinez.com,"34857 Thomas Loaf Suite 197, West Kimshire, NE 99026",24.04,10,98.48,0,847,5.51,8,19.61,9.25,20.0,Approved
Doyle Ltd,williambuchanan@hotmail.com,"348 Mario Causeway Suite 909, North Brittany, KS 36199",30.67,7,98.44,0,834,13.91,4,22.69,3.79,20.0,Approved
"James, Hoffman and Schmidt",colemaneric@gmail.com,"7597 Ortiz Lake, Port Andrea, ND 72492",37.31,12,82.64,0,818,6.83,10,17.01,8.3,20.0,Approved
Stanley Inc,rodriguezwilliam@gmail.com,"4714 Graham Fork Apt. 205, Petersenberg, ID 50363",25.37,9,89.55,1,840,14.77,5,23.97,6.21,20.0,Approved
Adams and Sons,brettduncan@yahoo.com,"5843 Green Underpass Suite 622, Whiteheadton, NV 19212",49.07,14,89.78,1,650,7.85,9,23.42,9.16,5.12,Not Approved
"Dennis, Gibson and Williams",rodriguezmark@yahoo.com,"947 Robert Brook Suite 306, North Alexisshire, MT 43890",35.84,8,96.28,1,833,3.78,10,15.78,1.35,20.0,Approved
Miller PLC,diana36@jones.net,"PSC 7302, Box 1957, APO AP 39675",22.98,10,90.62,0,813,5.99,9,18.93,3.19,20.0,Approved
Nelson and Sons,stephanie57@reed.com,"PSC 8686, Box 0478, APO AE 68533",28.95,17,97.29,1,832,7.19,8,22.69,4.96,20.0,Approved
Navarro-Barnett,teresa34@hernandez.com,"650 Adrian Mountains, West Joshuaborough, IA 84008",20.95,5,91.93,1,814,3.35,2,24.03,8.76,20.0,Approved
Clark Group,brian44@yahoo.com,"68061 Gordon Lane Suite 283, East Susanburgh, MN 08054",35.49,8,96.79,0,848,14.1,8,19.5,4.01,20.0,Approved
Madden-Johnson,johnwalker@yahoo.com,"7273 Mckenzie Road, West William, TN 29907",42.48,17,98.16,0,833,3.87,2,16.44,3.2,20.0,Approved
"Jimenez, Vazquez and Thompson",nmitchell@hotmail.com,"2005 Rhonda Island Apt. 769, Brandyburgh, MO 59508",38.8,9,99.17,1,810,13.85,6,23.3,5.72,20.0,Approved
Mason Inc,xramirez@beck-stewart.org,"PSC 4256, Box 3197, APO AA 85640",14.9,13,52.6,3,701,12.88,17,20.2,9.61,11.41,Not Approved
Douglas Inc,youngdavid@barnes-rogers.com,"95236 James Port Suite 503, Rodriguezport, MT 67193",15.9,16,80.19,3,650,9.88,17,5.13,8.59,12.39,Not Approved
"Smith, Evans and Jones",derek23@hotmail.com,"9105 Wells Vista, Port William, AK 07196",21.82,19,98.09,1,822,8.74,9,20.87,7.57,20.0,Approved
Davis PLC,ncurtis@hotmail.com,"285 Angel Parkways, South Tyler, WA 92387",36.05,16,89.6,1,831,12.36,3,21.57,1.6,20.0,Approved
Haley Ltd,jacob77@shaffer.com,"8463 Robinson Radial Apt. 625, North Philip, ME 82677",38.67,13,79.74,3,650,11.53,1,22.73,7.25,12.51,Not Approved
Harrison Ltd,sara10@brown.com,"029 Briana Circles, Hardinburgh, NH 68445",37.37,17,86.47,1,840,10.0,10,22.37,3.43,20.0,Approved
Juarez-Farrell,stephenslarry@walker.com,"781 Roberts Station Apt. 423, Harrisonmouth, DE 02363",46.66,11,89.73,1,804,4.23,8,16.74,8.23,20.0,Approved
Morse Inc,justin78@yahoo.com,"11241 Gregory Isle Suite 759, Jenniferfurt, OH 07983",26.37,7,81.81,0,820,7.38,5,20.82,9.21,20.0,Approved
Clark LLC,paul85@stephens.com,"908 Jasmine Springs Suite 743, Charlesland, KS 86641",21.06,19,91.11,1,808,13.66,6,19.97,6.66,20.0,Approved
Wright and Sons,wgonzalez@salinas.org,"166 Steven Fords Apt. 166, West Hayleyview, VT 16478",45.73,19,58.78,2,733,8.9,10,5.89,2.52,13.28,Not Approved
"Chambers, White and Jones",hgalvan@yahoo.com,"7093 Anna Causeway Suite 542, Michaelburgh, IN 54721",46.23,5,95.19,1,828,4.89,10,17.83,3.97,20.0,Approved
Williams Inc,benjamin79@gmail.com,"552 Brian Drive Apt. 803, Whitehaven, MN 10152",24.66,9,90.32,0,821,6.3,7,19.58,6.83,20.0,Approved
"Guerrero, House and Jones",dale30@yahoo.com,"143 Michael Manor, Lake John, MA 99106",27.14,17,97.06,0,844,13.39,3,18.75,4.31,20.0,Approved
Alvarez-Wyatt,sherribecker@hotmail.com,"6148 Jesus Wells Apt. 565, Jenniferchester, TX 93033",21.67,17,93.01,1,838,6.64,5,17.9,3.59,20.0,Approved
